CREATED,TCA,MIN_RNG (km),PC,RELATIVITY VEL (km/s),RADIAL DISTANCE (km),SAT_1_ID,SAT_1_NAME,SAT1_OBJECT_TYPE,SAT_1_EXCL_RADII (m),SAT1_TLE_LINE1,SAT1_TLE_LINE2,SAT_2_ID,SAT_2_NAME,SAT2_OBJECT_TYPE,SAT_2_EXCL_RADII (m),SAT2_TLE_LINE1,SAT2_TLE_LINE2
2026-1-31 18:30:17.346,2026-02-06T21:33:46.929496093750000064Z,3.6970,3.7065e-06,12.7146,1.3664,47699,AMAZONIA 1,PAYLOAD,5.00,1 47699U 21015A   26031.77103410  .00000297  00000+0  10579-3 0  9991,2 47699  98.3806 106.4269 0001197 197.8619 162.2528 14.41082778259002,25319,IRIDIUM 69,PAYLOAD,5.00,1 25319U 98026A   26031.84245654  .00000653  00000+0  19615-3 0  9993,2 25319  86.4000 358.7539 0003038  35.0217 325.1182 14.41276161455999
2026-1-31 18:30:17.346,2026-02-06T23:13:45.758597656250000064Z,1.4711,1.0596e-05,12.7212,1.3546,47699,AMAZONIA 1,PAYLOAD,5.00,1 47699U 21015A   26031.77103410  .00000297  00000+0  10579-3 0  9991,2 47699  98.3806 106.4269 0001197 197.8619 162.2528 14.41082778259002,25319,IRIDIUM 69,PAYLOAD,5.00,1 25319U 98026A   26031.84245654  .00000653  00000+0  19615-3 0  9993,2 25319  86.4000 358.7539 0003038  35.0217 325.1182 14.41276161455999
2026-1-31 18:30:17.346,2026-02-07T00:03:45.223319335937500064Z,3.0485,6.9749e-06,12.6966,-0.2635,47699,AMAZONIA 1,PAYLOAD,5.00,1 47699U 21015A   26031.77103410  .00000297  00000+0  10579-3 0  9991,2 47699  98.3806 106.4269 0001197 197.8619 162.2528 14.41082778259002,25319,IRIDIUM 69,PAYLOAD,5.00,1 25319U 98026A   26031.84245654  .00000653  00000+0  19615-3 0  9993,2 25319  86.4000 358.7539 0003038  35.0217 325.1182 14.41276161455999
2026-1-31 18:30:17.346,2026-02-07T00:53:44.587455078125000064Z,2.6495,5.9868e-06,12.7278,1.3440,47699,AMAZONIA 1,PAYLOAD,5.00,1 47699U 21015A   26031.77103410  .00000297  00000+0  10579-3 0  9991,2 47699  98.3806 106.4269 0001197 197.8619 162.2528 14.41082778259002,25319,IRIDIUM 69,PAYLOAD,5.00,1 25319U 98026A   26031.84245654  .00000653  00000+0  19615-3 0  9993,2 25319  86.4000 358.7539 0003038  35.0217 325.1182 14.41276161455999
2026-1-31 18:30:17.346,2026-02-07T01:43:44.05340890502929696Z,0.3132,2.7629e-04,12.7032,-0.2523,47699,AMAZONIA 1,PAYLOAD,5.00,1 47699U 21015A   26031.77103410  .00000297  00000+0  10579-3 0  9991,2 47699  98.3806 106.4269 0001197 197.8619 162.2528 14.41082778259002,25319,IRIDIUM 69,PAYLOAD,5.00,1 25319U 98026A   26031.84245654  .00000653  00000+0  19615-3 0  9993,2 25319  86.4000 358.7539 0003038  35.0217 325.1182 14.41276161455999
2026-1-31 18:30:17.346,2026-02-07T03:23:42.883094116210937536Z,2.6720,9.0509e-06,12.7097,-0.2399,47699,AMAZONIA 1,PAYLOAD,5.00,1 47699U 21015A   26031.77103410  .00000297  00000+0  10579-3 0  9991,2 47699  98.3806 106.4269 0001197 197.8619 162.2528 14.41082778259002,25319,IRIDIUM 69,PAYLOAD,5.00,1 25319U 98026A   26031.84245654  .00000653  00000+0  19615-3 0  9993,2 25319  86.4000 358.7539 0003038  35.0217 325.1182 14.41276161455999
